_6counter2.lus,Invalid,0.56,1.62
_6counter.lus,Invalid,0.77,1.71
_6countern.lus,Invalid,0.56,1.58
_6counters_e3_140_e8_149.lus,Valid,0.57,1.67
_6counters_e8_371_e1_448.lus,Valid,0.57,1.94
_6counters_e8_371_e2_80.lus,Valid,0.44,1.14
_6counters_e8_371_e3_224.lus,Valid,0.55,1.65
_6counters_e8_371_e7_304.lus,Invalid,0.58,1.76
_6counters.lus,Invalid,0.59,1.80
Byzantine__1.lus,Valid,0.62,1.80
Byzantine__2.lus,Valid,0.59,1.88
Byzantine.lus,Valid,0.61,1.82
ByzantineReal__1.lus,Valid,0.65,1.90
ByzantineReal__2.lus,Valid,0.61,1.95
ByzantineReal.lus,Valid,0.58,1.68
car_1_e7_184_e3_299.lus,Valid,0.68,2.42
car_1.lus,Valid,0.50,1.43
car_2_e7_1027_e1_1047.lus,Valid,0.66,2.42
car_2_e7_1027_e7_359.lus,Valid,1.15,5.75
car_2_e8_491_e7_826.lus,Valid,0.58,2.12
car_2.lus,Valid,0.58,1.60
car_3_e1_586.lus,Invalid,0.58,1.73
car_3_e2_695.lus,Valid,0.64,1.80
car_3_e7_626_e1_305.lus,Invalid,0.59,1.65
car_3_e7_626.lus,Valid,0.57,1.60
car_3_e8_33_e1_856.lus,Invalid,0.61,1.74
car_3_e8_33_e2_1010.lus,Valid,0.58,1.61
car_3_e8_33_e7_220.lus,Valid,0.58,1.76
car_3_e8_33.lus,Valid,0.58,1.74
car_3.lus,Valid,0.61,1.80
car_4_e3_57_e4_1047.lus,Valid,0.57,1.72
car_4_e3_57_e5_999.lus,Invalid,0.54,1.58
car_4_e3_57_e6_784.lus,Valid,0.45,1.26
car_4_e3_57.lus,Invalid,0.52,1.63
car_4_e7_592_e3_442.lus,Invalid,0.60,1.61
car_4_e7_592_e7_265.lus,Valid,0.67,2.46
car_4_e7_592.lus,Valid,0.60,1.69
car_4_e8_118_e3_514.lus,Invalid,0.60,1.81
car_4_e8_118_e7_178.lus,Valid,0.68,2.56
car_4_e8_118.lus,Valid,0.57,1.63
car_4.lus,Valid,0.51,1.45
car_5_e2_405_e2_1083.lus,Invalid,0.60,2.01
car_5_e2_405_e3_473.lus,Invalid,0.59,1.94
car_5_e2_405_e8_1055.lus,Invalid,0.62,2.15
car_5_e3_11_e1_429.lus,Invalid,0.60,2.02
car_5_e3_11_e5_24.lus,Invalid,0.62,2.10
car_5_e3_661.lus,Invalid,0.60,2.12
car_5_e7_244_e1_823.lus,Valid,3.43,20.11
car_5_e7_244_e2_693.lus,Invalid,0.62,2.06
car_5_e7_244_e3_1071.lus,Invalid,0.61,2.06
car_5_e7_244.lus,Valid,4.00,24.30
car_5.lus,Valid,3.48,20.89
car_6_e1_152_e1_391.lus,Valid,3.81,23.13
car_6_e1_152.lus,Valid,3.67,21.96
car_6_e2_589_e2_506.lus,Invalid,0.64,2.09
car_6_e2_589_e3_349.lus,Invalid,0.61,2.03
car_6_e2_893.lus,Invalid,0.60,2.03
car_6_e3_294_e1_956.lus,Invalid,0.60,1.98
car_6_e3_294_e3_47.lus,Invalid,0.60,2.05
car_6_e3_294_e5_979.lus,Invalid,0.60,2.14
car_6.lus,Valid,3.51,20.92
car_all_e1_618_e3_303.lus,Invalid,0.50,1.49
car_all_e1_618.lus,Invalid,0.61,1.88
car_all_e2_142_e7_209.lus,Valid,0.56,2.07
car_all_e2_142.lus,Valid,0.46,1.33
car_all_e3_1068_e1_178.lus,Invalid,0.59,1.79
car_all_e3_1068_e2_13.lus,Invalid,0.57,1.74
car_all_e3_1068_e3_163.lus,Invalid,0.61,1.90
car_all_e3_1068_e4_275.lus,Valid,0.65,1.84
car_all_e3_1068_e5_882.lus,Invalid,0.58,1.69
car_all_e3_1068.lus,Invalid,0.63,1.82
car_all_e7_188_e7_743.lus,Valid,1.48,9.05
car_all_e8_856_e1_217.lus,Invalid,0.48,1.47
car_all_e8_856_e2_585.lus,Valid,0.47,1.41
car_all_e8_856_e3_180.lus,Invalid,0.51,1.52
car_all_e8_856_e7_578.lus,Valid,0.67,2.41
car_all_e8_856.lus,Valid,0.56,1.68
car_all.lus,Valid,0.56,1.70
ccp01.lus,Valid,0.71,3.08
ccp02.lus,Valid,0.71,3.16
ccp03.lus,Valid,0.73,3.03
ccp04.lus,Valid,0.71,3.04
ccp05.lus,Valid,0.69,2.46
ccp06.lus,Valid,0.65,2.55
ccp07.lus,Valid,0.63,2.40
ccp08.lus,Valid,5.01,33.52
ccp09.lus,Valid,0.72,2.87
ccp10.lus,Invalid,0.83,3.95
ccp11.lus,Invalid,14.80,89.44
ccp12.lus,Invalid,0.97,4.39
ccp13.lus,Invalid,10.39,70.27
ccp14.lus,Invalid,7.04,48.44
ccp15.lus,Valid,0.80,3.13
ccp16.lus,Valid,0.74,2.17
ccp17.lus,Valid,4.24,28.07
ccp18.lus,Valid,4.23,28.01
ccp19.lus,Valid,0.61,2.53
ccp20.lus,Valid,13.29,85.30
ccp21.lus,Invalid,0.85,3.71
ccp22.lus,Invalid,10.25,69.73
ccp23.lus,Invalid,7.81,53.41
ccp24.lus,Invalid,21.25,110.83
cd_e7_621_e7_669.lus,Invalid,0.58,1.89
cd_e7_8.lus,Invalid,0.59,1.93
cd.lus,Valid,0.55,1.99
channel_bounds.lus,Error,0.31,0.51
channel.lus,Error,0.25,0.40
channel_str.lus,Error,0.29,0.47
channel_top.lus,Error,0.26,0.42
Clock__1.lus,Valid,0.67,2.02
Clock__2.lus,Valid,0.54,1.62
Clock__3.lus,Valid,0.65,1.81
Clock.lus,Valid,0.66,2.18
CollisionAvoidance__1.lus,Valid,0.91,3.66
CollisionAvoidance__2.lus,Valid,1.21,6.15
CollisionAvoidance__3.lus,Valid,1.25,6.32
CollisionAvoidance__4.lus,Invalid,0.91,3.67
CollisionAvoidance__5.lus,Invalid,0.85,3.69
CollisionAvoidance__6.lus,Invalid,0.97,3.83
CollisionAvoidance__7.lus,Invalid,0.99,4.10
CollisionAvoidance.lus:2:4:0:1.13,4.80
controlLaw.lus,Valid,0.50,1.46
cruise_controller_01.lus,Valid,0.78,3.09
cruise_controller_02.lus,Valid,0.73,3.02
cruise_controller_03.lus,Valid,0.71,2.80
cruise_controller_04.lus,Valid,0.72,3.02
cruise_controller_05.lus,Valid,0.63,2.25
cruise_controller_06.lus,Valid,0.60,2.44
cruise_controller_07.lus,Valid,0.66,2.38
cruise_controller_08.lus,Invalid,21.45,109.32
cruise_controller_09.lus,Invalid,0.79,3.28
cruise_controller_10.lus,Valid,22.53,126.78
cruise_controller_11.lus,Valid,0.70,2.45
cruise_controller_12.lus,Valid,3.17,20.71
cruise_controller_13.lus,Valid,0.60,2.38
cruise_controller_14.lus,Valid,2.43,15.65
cruise_controller_15.lus,Invalid,0.78,3.62
cruise_controller_16.lus,Invalid,10.20,67.53
cruise_controller_17.lus,Invalid,0.95,3.94
cruise_controller_18.lus,Valid,14.75,95.36
cruise_controller_19.lus,Valid,7.32,50.78
cruise_controller_20.lus,Invalid,0.79,3.56
cruise_controller_21.lus,Invalid,0.74,3.17
cruise_controller_22.lus,Invalid,0.80,3.34
cruise_controller_23.lus,Invalid,14.22,81.98
cruise_controller_24.lus,Valid,3.31,22.23
CruiseControllerCrv__10.lus,Valid,1.57,8.75
CruiseControllerCrv__11.lus,Valid,1.44,8.44
CruiseControllerCrv__12.lus,Valid,1.47,8.50
CruiseControllerCrv__1.lus,Valid,1.44,8.24
CruiseControllerCrv__2.lus,Valid,0.74,2.44
CruiseControllerCrv__3.lus,Valid,1.52,8.64
CruiseControllerCrv__4.lus,Valid,1.58,8.49
CruiseControllerCrv__5.lus,Valid,4.47,27.97
CruiseControllerCrv__6.lus,Valid,0.69,2.38
CruiseControllerCrv__7.lus,Valid,1.62,8.82
CruiseControllerCrv__8.lus,Valid,1.45,8.23
